station_id,year,probe,original_depth_cm,new_depth_cm,change,type
AK008,2004,MRC 1,0,6,6,measured
AK008,2004,MRC 2,0,6,6,measured
AK008,2004,MRC 3,0,10,10,measured
AK008,2004,MRC 4,0,8,8,measured
AK008,2005,MRC 1,0,7,7,measured
AK008,2005,MRC 2,0,6,6,measured
AK008,2005,MRC 3,0,9,9,measured
AK008,2005,MRC 4,0,9,9,measured
AK008,2006,MRC 1,0,5,5,measured
AK008,2006,MRC 2,0,4,4,measured
AK008,2006,MRC 3,0,7,7,measured
AK008,2006,MRC 4,0,7,7,measured
AK008,2007,MRC 1,0,6,6,measured
AK008,2007,MRC 2,0,5,5,measured
AK008,2007,MRC 3,0,9,9,measured
AK008,2007,MRC 4,0,10,10,measured
AK008,2008,MRC 1,0,6,6,measured
AK008,2008,MRC 2,0,5.5,5.5,measured
AK008,2008,MRC 3,0,9.5,9.5,measured
AK008,2008,MRC 4,0,11,11,measured
AK008,2009,MRC 1,0,6.5,6.5,measured
AK008,2009,MRC 2,0,5,5,measured
AK008,2009,MRC 3,0,10,10,measured
AK008,2009,MRC 4,0,11,11,measured
AK008,2010,MRC 1,0,7,7,measured
AK008,2010,MRC 2,0,5.5,5.5,measured
AK008,2010,MRC 3,0,9.5,9.5,measured
AK008,2010,MRC 4,0,12.5,12.5,measured
AK008,2011,MRC 1,0,7.25,7.25,inferred
AK008,2011,MRC 2,0,5,5,inferred
AK008,2011,MRC 3,0,9.25,9.25,inferred
AK008,2011,MRC 4,0,13,13,inferred
AK008,2012,MRC 1,0,7.5,7.5,measured
AK008,2012,MRC 2,0,4.5,4.5,measured
AK008,2012,MRC 3,0,9,9,measured
AK008,2012,MRC 4,0,13.5,13.5,measured
AK008,2013,MRC 1,0,9,9,inferred
AK008,2013,MRC 2,0,6.25,6.25,inferred
AK008,2013,MRC 3,0,10.25,10.25,inferred
AK008,2013,MRC 4,0,15.75,15.75,inferred
AK008,2014,MRC 1,0,10.5,10.5,measured
AK008,2014,MRC 2,0,8,8,measured
AK008,2014,MRC 3,0,11.5,11.5,measured
AK008,2014,MRC 4,0,18,18,measured
AK008,2015,MRC 1,0,11,11,measured
AK008,2015,MRC 2,0,9,9,measured
AK008,2015,MRC 3,0,14.5,14.5,measured
AK008,2015,MRC 4,0,19,19,measured
AK008,2016,MRC 1,0,13,13,measured
AK008,2016,MRC 2,0,10,10,measured
AK008,2016,MRC 3,0,32,32,measured
AK008,2016,MRC 4,0,36,36,measured
AK008,2017,MRC 1,0,12.75,12.75,inferred
AK008,2017,MRC 2,0,10,10,inferred
AK008,2017,MRC 3,0,24,24,inferred
AK008,2017,MRC 4,0,29.75,29.75,inferred
AK008,2018,MRC 1,0,12.5,12.5,measured
AK008,2018,MRC 2,0,10,10,measured
AK008,2018,MRC 3,0,16,16,measured
AK008,2018,MRC 4,0,23.5,23.5,measured
AK008,2019,MRC 1,0,14.25,14.25,inferred
AK008,2019,MRC 2,0,11.25,11.25,inferred
AK008,2019,MRC 3,0,18.5,18.5,inferred
AK008,2019,MRC 4,0,26.75,26.75,inferred
AK008,2020,MRC 1,0,14.25,14.25,inferred
AK008,2020,MRC 2,0,11.25,11.25,inferred
AK008,2020,MRC 3,0,18.5,18.5,inferred
AK008,2020,MRC 4,0,26.75,26.75,inferred
AK008,2021,MRC 1,0,16,16,measured
AK008,2021,MRC 2,0,12.5,12.5,measured
AK008,2021,MRC 3,0,21,21,measured
AK008,2021,MRC 4,0,30,30,measured
AK008,2022,MRC 1,0,16,16,measured
AK008,2022,MRC 2,0,13,13,measured
AK008,2022,MRC 3,0,18,18,measured
AK008,2022,MRC 4,0,28,28,measured
AK008,2023,MRC 1,0,15,15,measured
AK008,2023,MRC 2,0,12,12,measured
AK008,2023,MRC 3,0,18.5,18.5,measured
AK008,2023,MRC 4,0,28,28,measured
