station_id,year,probe,original_depth_cm,new_depth_cm,change,type
AK001,2004,MRC,0,9,9,measured
AK001,2005,MRC,0,10.5,10.5,measured
AK001,2006,MRC,0,9,9,measured
AK001,2007,MRC,0,11,11,measured
AK001,2008,MRC,0,8.5,8.5,measured
AK001,2009,MRC,0,8.5,8.5,measured
AK001,2010,MRC,0,8.75,8.75,measured
AK002,2011,MRC,0,9.125,9.125,inferred
AK001,2012,MRC,0,9.5,9.5,measured
AK002,2013,MRC,0,9.25,9.25,inferred
AK001,2014,MRC,0,9,9,measured
AK001,2015,MRC,0,13,13,measured
AK001,2016,MRC,0,13,13,measured
AK001,2017,MRC,0,12,12,inferred
AK001,2018,MRC,0,11,11,measured
AK001,2019,MRC,0,11.8,11.8,measured
AK001,2020,MRC,0,11.4,11.4,inferred
AK001,2021,MRC,0,11.4,11.4,inferred
AK001,2022,MRC,0,11,11,measured
AK001,2023,MRC,0,12,12,measured
