station_id,year,probe,original_depth_cm,new_depth_cm,change,type
AK007,2005,MRC 5,0,11,11,measured
AK007,2005,MRC 6,0,19.5,19.5,measured
AK007,2005,MRC 7,0,20.5,20.5,measured
AK007,2005,MRC 8,0,22,22,measured
AK007,2006,MRC 5,0,12,12,measured
AK007,2006,MRC 6,0,20,20,measured
AK007,2006,MRC 7,0,21,21,measured
AK007,2006,MRC 8,0,21,21,measured
AK007,2007,MRC 5,0,12,12,measured
AK007,2007,MRC 6,0,23.5,23.5,measured
AK007,2007,MRC 7,0,22.5,22.5,measured
AK007,2007,MRC 8,0,22.5,22.5,measured
AK007,2008,MRC 5,0,11.5,11.5,inferred
AK007,2008,MRC 6,0,23.5,23.5,measured
AK007,2008,MRC 7,0,21,21,measured
AK007,2008,MRC 8,0,22.5,22.5,measured
AK007,2009,MRC 5,0,11,11,measured
AK007,2009,MRC 6,0,21,21,measured
AK007,2009,MRC 7,0,19,19,measured
AK007,2009,MRC 8,0,20,20,measured
AK007,2010,MRC 5,0,8.5,8.5,measured
AK007,2010,MRC 6,0,22,22,measured
AK007,2010,MRC 7,0,21.5,21.5,measured
AK007,2010,MRC 8,0,21,21,measured
AK007,2011,MRC 5,0,8.75,8.75,inferred
AK007,2011,MRC 6,0,22,22,inferred
AK007,2011,MRC 7,0,21.5,21.5,inferred
AK007,2011,MRC 8,0,21,21,inferred
AK007,2012,MRC 5,0,9,9,measured
AK007,2012,MRC 6,0,22,22,measured
AK007,2012,MRC 7,0,21.5,21.5,measured
AK007,2012,MRC 8,0,21,21,measured
AK007,2013,MRC 5,0,10.5,10.5,inferred
AK007,2013,MRC 6,0,24.5,24.5,inferred
AK007,2013,MRC 7,0,24.25,24.25,inferred
AK007,2013,MRC 8,0,23.5,23.5,inferred
AK007,2014,MRC 5,0,12,12,measured
AK007,2014,MRC 6,0,27,27,measured
AK007,2014,MRC 7,0,27,27,measured
AK007,2014,MRC 8,0,26,26,measured
AK007,2015,MRC 5,0,11,11,measured
AK007,2015,MRC 6,0,29,29,measured
AK007,2015,MRC 7,0,27,27,measured
AK007,2015,MRC 8,0,26,26,measured
AK007,2016,MRC 5,0,11.5,11.5,inferred
AK007,2016,MRC 6,0,29.25,29.25,inferred
AK007,2016,MRC 7,0,32,32,broken
AK007,2016,MRC 8,0,29.25,29.75,inferred
AK007,2017,MRC 5,0,11.5,11.5,inferred
AK007,2017,MRC 6,0,29.25,29.25,inferred
AK007,2017,MRC 7,0,na,na,broken
AK007,2017,MRC 8,0,29.25,29.75,inferred
AK007,2018,MRC 5,0,12,12,measured
AK007,2018,MRC 6,0,29.5,29.5,measured
AK007,2018,MRC 7,0,na,na,broken
AK007,2018,MRC 8,0,32.5,33.5,measured
AK007,2019,MRC 5,0,12,12,measured
AK007,2019,MRC 6,0,29.5,29.5,measured
AK007,2019,MRC 7,0,na,na,broken
AK007,2019,MRC 8,0,32,33,measured
AK007,2020,MRC 5,0,12,12,inferred
AK007,2020,MRC 6,0,28.75,28.75,inferred
AK007,2020,MRC 7,0,na,na,broken
AK007,2020,MRC 8,0,33.25,34.25,inferred
AK007,2021,MRC 5,0,12,12,measured
AK007,2021,MRC 6,0,28,28,measured
AK007,2021,MRC 7,0,na,na,broken
AK007,2021,MRC 8,0,34.5,35.5,measured
AK007,2022,MRC 5,0,13,13,measured
AK007,2022,MRC 6,0,27,27,measured
AK007,2022,MRC 7,0,na,na,broken
AK007,2022,MRC 8,0,36,37,measured
AK007,2023,MRC 5,0,12,12,measured
AK007,2023,MRC 6,0,32,32,measured
AK007,2023,MRC 7,0,na,na,broken
AK007,2023,MRC 8,0,na,na,broken
